Date,Day,Trade_Num,Time,Pair,Direction,Strategy,Confidence,Position_Size,Leverage,Margin_Used,Entry_Price,Stop_Loss,Take_Profit,Exit_Price,Outcome,PnL,Notes,Starting_Capital,Ending_Capital
2025-01-01,1,1,,,LONG,Q-Pulse,HIGH,21.90,10,2.19,,,,,,,,100.00,
2025-01-01,1,2,,,LONG,Q-Pulse,HIGH,21.90,10,2.19,,,,,,,,100.00,
2025-01-01,1,3,,,LONG,Q-Trend,HIGH,21.90,10,2.19,,,,,,,,100.00,
2025-01-01,1,4,,,SHORT,Q-Pulse,HIGH,21.90,10,2.19,,,,,,,,100.00,
2025-01-01,1,5,,,LONG,Q-Pulse,MEDIUM,16.50,5,3.30,,,,,,,,100.00,
2025-01-02,2,6,,,,,HIGH,21.90,10,2.19,,,,,,,,100.00,
2025-01-02,2,7,,,,,HIGH,21.90,10,2.19,,,,,,,,100.00,
2025-01-02,2,8,,,,,HIGH,21.90,10,2.19,,,,,,,,100.00,
2025-01-02,2,9,,,,,HIGH,21.90,10,2.19,,,,,,,,100.00,
2025-01-02,2,10,,,,,MEDIUM,16.50,5,3.30,,,,,,,,100.00,
